home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
Canada,China PR,1,,,0,,,John Herdman,Christine Sinclair,Hao Wei,Wu Haiyan,53058,"Commonwealth Stadium, Edmonton",Kateryna Monzul (Referee) · Natalia Rachynska (AR1) · Sanja Rođak-Karšić (AR2) · Stéphanie Frappart (4th),Group stage,2015-06-06,1–0,Kateryna Monzul,,Canada,2015,,,,,,,Christine Sinclair (P) · 90+2’,,,,,,,,,,,,['22’|0:0|Desiree Scott'],,"['61’|0:0|Kaylyn Kyle|for Jonelle Filigno', '71’|0:0|Jessie Fleming|for Desiree Scott', '77’|0:0|Adriana Leon|for Melissa Tancredi']","['42’|0:0|Han Peng|for Wang Lisi', '62’|0:0|Zhang Rui|for Li Ying', '87’|0:0|Ma Jun|for Gu Yasha']"
New Zealand,Netherlands,0,,,1,,,Tony Readings,Abby Erceg,Roger Reijners,Mandy van den Berg,53058,"Commonwealth Stadium, Edmonton",Quetzalli Alvarado (Referee) · Mayte Chávez (AR1) · Enedina Caudillo (AR2) · Melissa Borjas (4th),Group stage,2015-06-06,0–1,Quetzalli Alvarado,,Canada,2015,,Lieke Martens · 33’,,['33’|0:1|Lieke Martens|Assist:|Vivianne Miedema'],,,,,,,,,,,,,,,,"['32’|0:0|Daniëlle van de Donk', '64’|0:1|Lieke Martens']","['67’|0:1|Jasmine Pereira|for Sarah Gregorius', '72’|0:1|Betsy Hassett|for Katie Bowen']","['81’|0:1|Shanice van de Sanden|for Vivianne Miedema', '84’|0:1|Tessel Middag|for Anouk Dekker', '90+2’|0:1|Kirsten van de Ven|for Lieke Martens']"
Japan,United States,2,,3,2,,1,,,,,48817,"Commerzbank-Arena, Frankfurt am Main",Bibiana Steinhaus (Referee) · Marina Wozniak (AR1) · Katrin Rafalski (AR2) · Jenny Palmqvist (4th),Final,2011-07-17,(3) 2–2 (1),Bibiana Steinhaus,Japan won on penalty kicks following extra time,Germany,2011,Aya Miyama · 81’|Homare Sawa · 117’,Alex Morgan · 69’|Abby Wambach · 104’,"['81’|1:1|Aya Miyama', '117’|2:2|Homare Sawa']","['69’|0:1|Alex Morgan', '104’|1:2|Abby Wambach']",,,,,,,"['2|1:0|Aya Miyama', '6|2:0|Mizuho Sakaguchi', '8|3:1|Saki Kumagai']",['7|2:1|Abby Wambach'],['4|1:0|Yūki Nagasato'],"['1|0:0|Shannon Boxx', '3|1:0|Carli Lloyd', '5|1:0|Tobin Heath']",Azusa Iwashimizu · 120+1’,,,,['97’|1:1|Aya Miyama'],,"['66’|0:0|Yūki Nagasato|for Shinobu Ohno', '66’|0:0|Karina Maruyama|for Kozue Ando', '119’|2:2|Mana Iwabuchi|for Karina Maruyama']","['46’|0:0|Alex Morgan|for Lauren Holiday', '114’|1:2|Tobin Heath|for Megan Rapinoe']"
Sweden,France,2,,,1,,,,,,,25515,"PreZero Arena, Sinsheim",Kari Seitz (Referee) · Marlene Duffy (AR1) · Verónica Pérez (AR2) · Quetzalli Alvarado (4th),Third-place match,2011-07-16,2–1,Kari Seitz,,Germany,2011,Lotta Schelin · 29’|Marie Hammarström · 82’,Élodie Thomis · 56’,"['29’|1:0|Lotta Schelin', '82’|2:1|Marie Hammarström']",['56’|1:1|Élodie Thomis'],,,,,,,,,,,Josefine Öqvist · 68’,,,,,,"['62’|1:1|Marie Hammarström|for Linda Forsberg', '73’|1:1|Linda Sembrant|for Nilla Fischer']","['32’|1:0|Céline Deville|for Louisa Cadamuro', '32’|1:0|Élodie Thomis|for Bérangère Sapowicz', '84’|2:1|Caroline Pizzala|for Corine Franco']"
France,United States,1,,,3,,,,,,,25676,"Stadion im Borussia-Park, Mönchengladbach",Kirsi Heikkinen (Referee) · Tonja Paavola (AR1) · Anu Jokela (AR2) · Christina Pedersen (4th),Semi-finals,2011-07-13,1–3,Kirsi Heikkinen,,Germany,2011,Sonia Bompastor · 55’,Lauren Holiday · 9’|Abby Wambach · 79’|Alex Morgan · 82’,['55’|1:1|Sonia Bompastor'],"['9’|0:1|Lauren Holiday', '79’|1:2|Abby Wambach', '82’|1:3|Alex Morgan']",,,,,,,,,,,,,,,['90’|1:3|Élodie Thomis'],,"['46’|0:1|Eugénie Le Sommer|for Marie-Laure Delie', '78’|1:1|Élodie Thomis|for Sandrine Soubeyrand']","['56’|1:1|Alex Morgan|for Amy Rodriguez', '65’|1:1|Megan Rapinoe|for Carli Lloyd', ""87’|1:3|Tobin Heath|for Heather O'Reilly""]"
Japan,Sweden,3,,,1,,,,,,,45434,"Commerzbank-Arena, Frankfurt am Main",Carol-Anne Chenard (Referee) · Rita Munoz (AR1) · Mayte Chavez (AR2) · Thérèse Neguel (4th),Semi-finals,2011-07-13,3–1,Carol-Anne Chenard,,Germany,2011,Nahomi Kawasumi · 19’|Homare Sawa · 60’|Nahomi Kawasumi · 64’,Josefine Öqvist · 10’,"['19’|1:1|Nahomi Kawasumi', '60’|2:1|Homare Sawa', '64’|3:1|Nahomi Kawasumi']",['10’|0:1|Josefine Öqvist'],,,,,,,,,,,,,,,,['70’|3:1|Annica Svensson'],"['74’|3:1|Yūki Nagasato|for Nahomi Kawasumi', '86’|3:1|Megumi Takase|for Shinobu Ohno', '89’|3:1|Megumi Kamionobe|for Aya Miyama']","['65’|3:1|Sofia Jakobsson|for Linda Forsberg', '69’|3:1|Jessica Landström|for Marie Hammarström', '75’|3:1|Antonia Göransson|for Josefine Öqvist']"
Sweden,Australia,3,,,1,,,,,,,24605,"WWK Arena, Augsburg",Silvia Reyes (Referee) · Mariana Corbo (AR1) · Maria Rocco (AR2),Quarter-finals,2011-07-10,3–1,Silvia Reyes,,Germany,2011,Therese Sjögran · 11’|Lisa Dahlkvist · 16’|Lotta Schelin · 52’,Ellyse Perry · 40’,"['11’|1:0|Therese Sjögran', '16’|2:0|Lisa Dahlkvist', '52’|3:1|Lotta Schelin']",['40’|2:1|Ellyse Perry'],,,,,,,,,,,,,,,"['67’|3:1|Therese Sjögran', '81’|3:1|Nilla Fischer']","['23’|2:0|Kyah Simon', '80’|3:1|Heather Garriock']","['67’|3:1|Nilla Fischer|for Linda Forsberg', '83’|3:1|Madelaine Edlund|for Josefine Öqvist', '90+2’|3:1|Lina Nilsson|for Annica Svensson']","['58’|3:1|Clare Polkinghorne|for Emily van Egmond', '59’|3:1|Tameka Yallop|for Ellyse Perry', '79’|3:1|Sally Shipard|for Collette McCallum']"
Brazil,United States,2,,3,2,,5,,,,,25598,"DDV-Stadion, Dresden",Jacqui Melksham (Referee) · Allyson Flynn (AR1) · Sarah Ho (AR2) · Etsuko Fukano (4th),Quarter-finals,2011-07-10,(3) 2–2 (5),Jacqui Melksham,USA won on penalty kicks following extra time,Germany,2011,Marta · 92’,Abby Wambach · 120+2’,['92’|2:1|Marta'],['120+2’|2:2|Abby Wambach'],,Daiane Rodrigues (OG) · 2’,Marta (P) · 68’,,,,"['2|1:1|Cristiane', '4|2:2|Marta', '8|3:4|Francielle']","['1|0:1|Shannon Boxx', '3|1:2|Carli Lloyd', '5|2:3|Abby Wambach', '7|2:4|Megan Rapinoe', '9|3:5|Ali Krieger']",['6|2:3|Daiane Rodrigues'],,,Rachel Van Hollebeke · 65’,,,"['44’|0:1|Aline Pellegrino', '45’|0:1|Marta', '112’|2:1|Maurine Dorneles Gonçalves', '117’|2:1|Érika']","['29’|0:1|Carli Lloyd', '67’|0:1|Hope Solo', '90+1’|1:1|Megan Rapinoe', '113’|2:1|Shannon Boxx']","['85’|1:1|Francielle|for Rosana', '113’|2:1|Kóki|for Formiga']","['55’|0:1|Megan Rapinoe|for Lauren Holiday', '72’|1:1|Alex Morgan|for Amy Rodriguez', ""108’|2:1|Tobin Heath|for Heather O'Reilly""]"
England,France,1,,3,1,,4,,,,,26395,"BayArena, Leverkusen",Jenny Palmqvist (Referee) · Anna Nystrom (AR1) · Helen Karo (AR2) · Christina Pedersen (4th),Quarter-finals,2011-07-09,(3) 1–1 (4),Jenny Palmqvist,France won on penalty kicks following extra time,Germany,2011,Jill Scott · 59’,Élise Bussaglia · 88’,['59’|1:0|Jill Scott'],['88’|1:1|Élise Bussaglia'],,,,,,,"['2|1:0|Kelly Smith', '4|2:1|Karen Carney', '6|3:2|Casey Stoney']","['3|1:1|Élise Bussaglia', '5|2:2|Gaëtane Thiney', '7|3:3|Sonia Bompastor', '9|3:4|Eugénie Le Sommer']","['8|3:3|Claire Rafferty', '10|3:4|Ellen White']",['1|0:0|Camille Abily'],,,,,"['5’|0:0|Fara Williams', '77’|1:0|Ellen White', '87’|1:0|Karen Bardsley', '90+4’|1:1|Jill Scott']",,"['81’|1:0|Steph Houghton|for Rachel Unitt', '81’|1:0|Claire Rafferty|for Alex Scott', '84’|1:0|Anita Asante|for Rachel Yankey']","['67’|1:0|Élodie Thomis|for Sandrine Soubeyrand', '79’|1:0|Sandrine Brétigny|for Louisa Cadamuro', '106’|1:1|Eugénie Le Sommer|for Sandrine Brétigny']"
Germany,Japan,0,,,1,,,,,,,26067,"Volkswagen Arena, Wolfsburg",Quetzalli Alvarado (Referee) · Rita Munoz (AR1) · Mayte Chavez (AR2) · Carol-Anne Chenard (4th),Quarter-finals,2011-07-09,0–1,Quetzalli Alvarado,Required Extra Time,Germany,2011,,Karina Maruyama · 108’,,['108’|0:1|Karina Maruyama'],,,,,,,,,,,,,,,['105+1’|0:0|Babett Peter'],"['55’|0:0|Azusa Iwashimizu', '72’|0:0|Mizuho Sakaguchi', '87’|0:0|Homare Sawa', '115’|0:1|Saki Kumagai']","['8’|0:0|Bianca Schmidt|for Kim Kulig', '65’|0:0|Lena Goeßling|for Linda Bresonik', '102’|0:0|Alexandra Popp|for Inka Grings']","['46’|0:0|Karina Maruyama|for Yūki Nagasato', '66’|0:0|Mana Iwabuchi|for Shinobu Ohno', '116’|0:1|Rumi Utsugi|for Mana Iwabuchi']"
Australia,Norway,2,,,1,,,,,,,0,"BayArena, Leverkusen",Estela Alvarez (Referee) · Maria Rocco (AR1) · Yoly Garcia (AR2) · Silvia Reyes (4th),Group stage,2011-07-06,2–1,Estela Alvarez,,Germany,2011,Kyah Simon · 57’|Kyah Simon · 87’,Elise Thorsnes · 56’,"['57’|1:1|Kyah Simon', '87’|2:1|Kyah Simon']",['56’|0:1|Elise Thorsnes'],,,,,,,,,,,,,,,"['45+2’|0:0|Kim Carroll', '68’|1:1|Heather Garriock']",['90+2’|2:1|Hedda Strand Gardsjord'],"['80’|1:1|Laura Alleway|for Sam Kerr', '89’|2:1|Ellyse Perry|for Caitlin Foord']","['46’|0:0|Erika Skarbø|for Emilie Haavi', '46’|0:0|Kristine Minde|for Ingrid Hjelmseth', '81’|1:1|Isabell Herlovsen|for Gry Tofte Ims']"
Equatorial Guinea,Brazil,0,,,3,,,,,,,0,"Commerzbank-Arena, Frankfurt am Main",Bibiana Steinhaus (Referee) · Marina Wozniak (AR1) · Katrin Rafalski (AR2) · Kateryna Monzul (4th),Group stage,2011-07-06,0–3,Bibiana Steinhaus,,Germany,2011,,Érika · 49’|Cristiane · 54’,,"['49’|0:1|Érika', '54’|0:2|Cristiane']",,,,Cristiane (P) · 90+3’,,,,,,,,,,,"['9’|0:0|Dulce', '60’|0:2|Blessing Diala', '90+3’|0:2|Bruna']","['74’|0:2|Francielle', '77’|0:2|Kóki']","['71’|0:2|Sinforosa Nguema|for Ana Cristina da Silva', '86’|0:2|Tiga|for Blessing Diala']","['70’|0:2|Francielle|for Rosana', '82’|0:2|Thaís Duarte Guedes|for Fabiana da Silva Simões', '90’|0:2|Beatriz|for Formiga']"
Korea DPR,Colombia,0,,,0,,,,,,,0,"Vonovia Ruhrstadion, Bochum",Christina Pedersen (Referee) · Hege Steinlund (AR1) · Lada Rojc (AR2) · Quetzalli Alvarado (4th),Group stage,2011-07-06,0–0,Christina Pedersen,,Germany,2011,,,,,,,,,,,,,,,,,,,,,"['48’|0:0|Kim Chung-sim|for Kim Su-gyong', '56’|0:0|Yun Hyon-hi|for Ra Un-sim', '76’|0:0|Choe Mi-gyong|for Yun Hyon-hi']","['88’|0:0|Ingrid Vidal|for Katerin Castro', '89’|0:0|Liana Salazar|for Daniela Montoya']"
Sweden,United States,2,,,1,,,,,,,0,"Volkswagen Arena, Wolfsburg",Etsuko Fukano (Referee) · Saori Takahashi (AR1) · Lingling Zhang (AR2) · Thérèse Neguel (4th),Group stage,2011-07-06,2–1,Etsuko Fukano,,Germany,2011,,Abby Wambach · 67’,,['67’|2:1|Abby Wambach'],Amy LePeilbet (OG) · 35’,,Lisa Dahlkvist (P) · 16’,,,,,,,,,,,,['60’|2:0|Nilla Fischer'],['14’|0:0|Amy LePeilbet'],"['65’|2:0|Antonia Göransson|for Therese Sjögran', '77’|2:1|Marie Hammarström|for Lisa Dahlkvist', '88’|2:1|Linda Sembrant|for Nilla Fischer']","['46’|2:0|Alex Morgan|for Amy Rodriguez', '59’|2:0|Stephanie Cox|for Amy LePeilbet', ""73’|2:1|Kelley O'Hara|for Megan Rapinoe""]"
England,Japan,2,,,0,,,,,,,0,"WWK Arena, Augsburg",Carol-Anne Chenard (Referee) · Marlene Duffy (AR1) · Emperatriz Ayala (AR2) · Kari Seitz (4th),Group stage,2011-07-05,2–0,Carol-Anne Chenard,,Germany,2011,Ellen White · 15’|Rachel Yankey · 66’,,"['15’|1:0|Ellen White', '66’|2:0|Rachel Yankey']",,,,,,,,,,,,,,,,,,"['46’|1:0|Rachel Yankey|for Jessica Clarke', '62’|1:0|Eniola Aluko|for Kelly Smith', '90’|2:0|Laura Bassett|for Ellen White']","['56’|1:0|Karina Maruyama|for Kozue Ando', '75’|2:0|Mana Iwabuchi|for Mizuho Sakaguchi', '82’|2:0|Nahomi Kawasumi|for Shinobu Ohno']"
New Zealand,Mexico,2,,,2,,,,,,,0,"PreZero Arena, Sinsheim",Jenny Palmqvist (Referee) · Helen Karo (AR1) · Anna Nystrom (AR2) · Jacqui Melksham (4th),Group stage,2011-07-05,2–2,Jenny Palmqvist,,Germany,2011,Rebecca Smith · 90’|Hannah Wilkinson · 90+4’,Stephany Mayor · 2’|Maribel Domínguez · 29’,"['90’|1:2|Rebecca Smith', '90+4’|2:2|Hannah Wilkinson']","['2’|0:1|Stephany Mayor', '29’|0:2|Maribel Domínguez']",,,,,,,,,,,,,,,['33’|0:2|Rosie White'],['90’|0:2|Maribel Domínguez'],"['55’|0:2|Hannah Wilkinson|for Rosie White', '60’|0:2|Kirsty Yallop|for Hayley Bowden', '79’|0:2|Ria Percival|for Betsy Hassett']","['46’|0:2|Dinora Garza|for Nayeli Rangel', '70’|0:2|Charlyn Corral|for Stephany Mayor', '81’|0:2|Luz Saucedo|for Kenti Robles']"
France,Germany,2,,,4,,,,,,,0,"Stadion im Borussia-Park, Mönchengladbach",Kirsi Heikkinen (Referee) · Tonja Paavola (AR1) · Anu Jokela (AR2),Group stage,2011-07-05,2–4,Kirsi Heikkinen,,Germany,2011,Marie-Laure Delie · 56’|Laura Georges · 72’,Kerstin Garefrekes · 25’|Inka Grings · 32’|Célia Šašić · 89’,"['56’|1:2|Marie-Laure Delie', '72’|2:3|Laura Georges']","['25’|0:1|Kerstin Garefrekes', '32’|0:2|Inka Grings', '89’|2:4|Célia Šašić']",,,,Inka Grings (P) · 68’,,,,,,,Bérangère Sapowicz · 65’,,,,"['40’|0:2|Élise Bussaglia', '41’|0:2|Laura Georges', '59’|1:2|Wendie Renard']","['17’|0:0|Lena Goeßling', '82’|2:3|Fatmire Alushi']","['46’|0:2|Camille Abily|for Louisa Cadamuro', '46’|0:2|Marie-Laure Delie|for Élodie Thomis', '68’|1:2|Céline Deville|for Eugénie Le Sommer']","['46’|0:2|Ariane Hingst|for Simone Laudehr', '78’|2:3|Alexandra Popp|for Annike Krahn']"
Canada,Nigeria,0,,,1,,,,,,,0,"DDV-Stadion, Dresden",Finau Vulivuli (Referee) · Jacqueline Stephenson (AR1) · Lata Kaumatule (AR2) · Thalia Mitsi (4th),Group stage,2011-07-05,0–1,Finau Vulivuli,,Germany,2011,,Perpetua Nkwocha · 73’,,['73’|0:1|Perpetua Nkwocha'],,,,,,,,,,,,,,,,['59’|0:0|Onome Ebi'],"['56’|0:0|Christina Julien|for Jonelle Filigno', '78’|0:1|Desiree Scott|for Kaylyn Kyle', '84’|0:1|Jodi-Ann Robinson|for Melissa Tancredi']","['54’|0:0|Ogonna Chukwudi|for Ebere Orji', '72’|0:0|Francisca Ordega|for Stella Mbachu', '84’|0:1|Uchechi Sunday|for Desire Oparanozie']"
Australia,Equatorial Guinea,3,,,2,,,,,,,0,"Vonovia Ruhrstadion, Bochum",Gyöngyi Gaál (Referee) · Cristina Cini (AR1) · Natalie Aspinall (AR2) · Bibiana Steinhaus (4th),Group stage,2011-07-03,3–2,Gyöngyi Gaál,,Germany,2011,Leena Khamis · 8’|Emily van Egmond · 48’|Lisa De Vanna · 51’,Genoveva Añonma · 21’|Genoveva Añonma · 83’,"['8’|1:0|Leena Khamis', '48’|2:1|Emily van Egmond', '51’|3:1|Lisa De Vanna']","['21’|1:1|Genoveva Añonma', '83’|3:2|Genoveva Añonma']",,,,,,,,,,,,,,,['72’|3:1|Lisa De Vanna'],"['41’|1:1|Genoveva Añonma', '46’|1:1|Ana Cristina da Silva', '79’|3:1|Sinforosa Nguema']","['46’|1:1|Lisa De Vanna|for Sally Shipard', '69’|3:1|Teigen Allen|for Sam Kerr', '78’|3:1|Clare Polkinghorne|for Collette McCallum']","['57’|3:1|Tiga|for Gloria Chinasa', '66’|3:1|Sinforosa Nguema|for Jumária Barbosa de Santana', '83’|3:2|Laetitia Chapeh|for Bruna']"
Brazil,Norway,3,,,0,,,,,,,0,"Volkswagen Arena, Wolfsburg",Kari Seitz (Referee) · Marlene Duffy (AR1) · Verónica Pérez (AR2) · Carol-Anne Chenard (4th),Group stage,2011-07-03,3–0,Kari Seitz,,Germany,2011,Marta · 22’|Rosana · 46’|Marta · 48’,,"['22’|1:0|Marta', '46’|2:0|Rosana', '48’|3:0|Marta']",,,,,,,,,,,,,,,,['19’|0:0|Daiane Rodrigues'],,"['76’|3:0|Francielle|for Fabiana da Silva Simões', '85’|3:0|Kóki|for Daiane Rodrigues', '89’|3:0|Grazielle|for Ester Aparecida dos Santos']","['46’|1:0|Elise Thorsnes|for Leni Larsen Kaurin', '52’|3:0|Cecilie Pedersen|for Emilie Haavi', '67’|3:0|Gry Tofte Ims|for Ingvild Stensland']"
Korea DPR,Sweden,0,,,1,,,,,,,0,"WWK Arena, Augsburg",Estela Alvarez (Referee) · Maria Rocco (AR1) · Yoly Garcia (AR2) · Finau Vulivuli (4th),Group stage,2011-07-02,0–1,Estela Alvarez,,Germany,2011,,Lisa Dahlkvist · 64’,,['64’|0:1|Lisa Dahlkvist'],,,,,,,,,,,,,,,,['60’|0:0|Caroline Seger'],"['67’|0:1|Kim Un-ju|for Kim Su-gyong', '79’|0:1|Choe Mi-gyong|for Yun Hyon-hi', '82’|0:1|Kim Chung-sim|for Ri Ye-gyong']","['76’|0:1|Josefine Öqvist|for Jessica Landström', '86’|0:1|Nilla Fischer|for Therese Sjögran']"
United States,Colombia,3,,,0,,,,,,,0,"PreZero Arena, Sinsheim",Maria Luisa Villa Gutierrez (AR1) · Yolanda Parga (AR2) · Jacqui Melksham (4th),Group stage,2011-07-02,3–0,,,Germany,2011,Heather O'Reilly · 12’|Megan Rapinoe · 50’|Carli Lloyd · 57’,,"[""12’|1:0|Heather O'Reilly"", '50’|2:0|Megan Rapinoe', '57’|3:0|Carli Lloyd']",,,,,,,,,,,,,,,,['84’|3:0|Abby Wambach'],,"['46’|1:0|Megan Rapinoe|for Amy Rodriguez', '56’|2:0|Stephanie Cox|for Amy LePeilbet', ""62’|3:0|Tobin Heath|for Heather O'Reilly""]","['53’|2:0|Oriánica Velásquez|for Catalina Usme', '55’|2:0|Yoreli Rincón|for Liana Salazar']"
Japan,Mexico,4,,,0,,,,,,,0,"BayArena, Leverkusen",Christina Pedersen (Referee) · Hege Steinlund (AR1) · Lada Rojc (AR2) · Thalia Mitsi (4th),Group stage,2011-07-01,4–0,Christina Pedersen,,Germany,2011,Homare Sawa · 13’|Shinobu Ohno · 15’|Homare Sawa · 39’|Homare Sawa · 80’,,"['13’|1:0|Homare Sawa', '15’|2:0|Shinobu Ohno', '39’|3:0|Homare Sawa', '80’|4:0|Homare Sawa']",,,,,,,,,,,,,,,,,,"['69’|3:0|Nahomi Kawasumi|for Shinobu Ohno', '69’|3:0|Mana Iwabuchi|for Kozue Ando', '83’|4:0|Rumi Utsugi|for Homare Sawa']","['46’|3:0|Liliana Mercado|for Nayeli Rangel', '62’|3:0|Kenti Robles|for Maribel Domínguez', '79’|3:0|Teresa Noyola|for Verónica Pérez']"
New Zealand,England,1,,,2,,,,,,,0,"DDV-Stadion, Dresden",Thérèse Neguel (Referee) · Tempa Ndah (AR1) · Lidwine Rakotozafinoro (AR2) · Quetzalli Alvarado (4th),Group stage,2011-07-01,1–2,Thérèse Neguel,,Germany,2011,Sarah Gregorius · 18’,Jill Scott · 63’|Jessica Clarke · 81’,['18’|1:0|Sarah Gregorius'],"['63’|1:1|Jill Scott', '81’|1:2|Jessica Clarke']",,,,,,,,,,,,,,,,,"['46’|1:0|Hayley Bowden|for Katie Bowen', '71’|1:1|Rosie White|for Ria Percival', '90’|1:2|Hannah Wilkinson|for Sarah Gregorius']","['46’|1:0|Karen Carney|for Eniola Aluko', '65’|1:1|Jessica Clarke|for Rachel Yankey', '86’|1:2|Sophie Bradley|for Ellen White']"
Canada,France,0,,,4,,,,,,,0,"Vonovia Ruhrstadion, Bochum",Etsuko Fukano (Referee) · Saori Takahashi (AR1) · Lingling Zhang (AR2) · Kateryna Monzul (4th),Group stage,2011-06-30,0–4,Etsuko Fukano,,Germany,2011,,Gaëtane Thiney · 24’|Gaëtane Thiney · 60’|Camille Abily · 66’|Élodie Thomis · 83’,,"['24’|0:1|Gaëtane Thiney', '60’|0:2|Gaëtane Thiney', '66’|0:3|Camille Abily', '83’|0:4|Élodie Thomis']",,,,,,,,,,,,,,,['52’|0:1|Diana Matheson'],['37’|0:1|Sonia Bompastor'],"['60’|0:2|Desiree Scott|for Christina Julien', '60’|0:2|Melissa Tancredi|for Kaylyn Kyle', '77’|0:3|Chelsea Stewart|for Brittany Baxter']","['74’|0:3|Élodie Thomis|for Marie-Laure Delie', '79’|0:3|Laure Boulleau|for Gaëtane Thiney', '82’|0:3|Eugénie Le Sommer|for Camille Abily']"
Germany,Nigeria,1,,,0,,,,,,,0,"Commerzbank-Arena, Frankfurt am Main",Sung Mi Cha (Referee) · Widiya Shamsuri (AR1) · Kim Kyoung-min (AR2) · Silvia Reyes (4th),Group stage,2011-06-30,1–0,Sung Mi Cha,,Germany,2011,Simone Laudehr · 54’,,['54’|1:0|Simone Laudehr'],,,,,,,,,,,,,,,,['74’|1:0|Kim Kulig'],['51’|0:0|Osinachi Ohale'],"['31’|0:0|Alexandra Popp|for Melanie Behringer', '53’|0:0|Inka Grings|for Birgit Prinz', '87’|1:0|Fatmire Alushi|for Célia Šašić']","['63’|1:0|Amenze Aighewi|for Ebere Orji', '70’|1:0|Uchechi Sunday|for Sarah Michael', '85’|1:0|Francisca Ordega|for Stella Mbachu']"
Norway,Equatorial Guinea,1,,,0,,,,,,,0,"WWK Arena, Augsburg",Quetzalli Alvarado (Referee) · Rita Munoz (AR1) · Mayte Chavez (AR2) · Finau Vulivuli (4th),Group stage,2011-06-29,1–0,Quetzalli Alvarado,,Germany,2011,Emilie Haavi · 84’,,['84’|1:0|Emilie Haavi'],,,,,,,,,,,,,,,,"['63’|0:0|Maren Mjelde', '90+2’|1:0|Elise Thorsnes']",,"['46’|0:0|Lene Mykjåland|for Madeleine Giske', '62’|0:0|Cecilie Pedersen|for Isabell Herlovsen', '70’|0:0|Leni Larsen Kaurin|for Lene Mykjåland']","['46’|0:0|Laetitia Chapeh|for Christelle Nyepel', '52’|0:0|Gloria Chinasa|for Jumária Barbosa de Santana', '65’|0:0|Tiga|for Blessing Diala']"
Brazil,Australia,1,,,0,,,,,,,0,"Stadion im Borussia-Park, Mönchengladbach",Jenny Palmqvist (Referee) · Helen Karo (AR1) · Anna Nystrom (AR2) · Thalia Mitsi (4th),Group stage,2011-06-29,1–0,Jenny Palmqvist,,Germany,2011,Rosana · 54’,,['54’|1:0|Rosana'],,,,,,,,,,,,,,,,,,['84’|1:0|Francielle|for Formiga'],"['61’|1:0|Sally Shipard|for Emily van Egmond', '79’|1:0|Sam Kerr|for Kyah Simon', '86’|1:0|Clare Polkinghorne|for Tameka Yallop']"
Colombia,Sweden,0,,,1,,,,,,,0,"BayArena, Leverkusen",Carol-Anne Chenard (Referee) · Emperatriz Ayala (AR1) · Cindy Mohammed (AR2) · Thérèse Neguel (4th),Group stage,2011-06-28,0–1,Carol-Anne Chenard,,Germany,2011,,Jessica Landström · 57’,,['57’|0:1|Jessica Landström'],,,,,,,,,,,,,,,,['29’|0:0|Caroline Seger'],"['59’|0:1|Katerin Castro|for Catalina Usme', '66’|0:1|Yulieth Domínguez|for Daniela Montoya', '79’|0:1|Ingrid Vidal|for Andrea Peralta']","['54’|0:0|Sofia Jakobsson|for Linda Forsberg', '69’|0:1|Nilla Fischer|for Caroline Seger', '81’|0:1|Madelaine Edlund|for Jessica Landström']"
United States,Korea DPR,2,,,0,,,,,,,0,"DDV-Stadion, Dresden",Bibiana Steinhaus (Referee) · Marina Wozniak (AR1) · Katrin Rafalski (AR2) · Gyöngyi Gaál (4th),Group stage,2011-06-28,2–0,Bibiana Steinhaus,,Germany,2011,Lauren Holiday · 54’|Rachel Van Hollebeke · 76’,,"['54’|1:0|Lauren Holiday', '76’|2:0|Rachel Van Hollebeke']",,,,,,,,,,,,,,,,,,"['75’|1:0|Alex Morgan|for Amy Rodriguez', ""79’|2:0|Megan Rapinoe|for Heather O'Reilly""]","['48’|0:0|Paek Sol-hui|for Yun Hyon-hi', '68’|1:0|Kim Un-ju|for Jon Myong-hwa', '81’|2:0|Kwon Song-hwa|for Ho Un-byol']"
Japan,New Zealand,2,,,1,,,,,,,0,"Vonovia Ruhrstadion, Bochum",Kirsi Heikkinen (Referee) · Anu Jokela (AR1) · Tonja Paavola (AR2) · Kateryna Monzul (4th),Group stage,2011-06-27,2–1,Kirsi Heikkinen,,Germany,2011,Yūki Nagasato · 6’|Aya Miyama · 68’,Amber Hearn · 12’,"['6’|1:0|Yūki Nagasato', '68’|2:1|Aya Miyama']",['12’|1:1|Amber Hearn'],,,,,,,,,,,,,,,,"['45+1’|1:1|Katie Bowen', '67’|1:1|Rebecca Smith', '77’|2:1|Amber Hearn']","['55’|1:1|Mana Iwabuchi|for Shinobu Ohno', '76’|2:1|Karina Maruyama|for Yūki Nagasato', '90+2’|2:1|Asuna Tanaka|for Kozue Ando']","['46’|1:1|Hayley Bowden|for Katie Bowen', '62’|1:1|Hannah Wilkinson|for Sarah Gregorius', '76’|2:1|Annalie Longo|for Ria Percival']"
